Date,TransactionType,TransactionTypeId,Num,CreateDate,CreatedBy,LastModified,LastModifiedBy,Name,NameId,Location,LocationId,Class,ClassId,Memo,Split,SplitId,Debit,Credit,PaymentMethod,PaymentMethodId,Amount,Balance,TaxName,TaxAmount,TaxableAmount,Categories,AccountId,Account,Store
2017-08-12 00:00:00,Invoice,231,1056,2023-03-06T10:49:28-0800,Hassan Syyid,2023-03-06T10:49:28-0800,Hassan Syyid,Tony Stark:Raul Stark,90,,,,,Opening Balance,1234 Accounts Receivable (A/R),84,,234.50,,,234.5,234.5,,.00,.00,"['Ordinary Income/Expenses', 'Income', 'Services']",1,Services,
2017-08-12 00:00:00,Invoice,324,,2023-03-24T18:05:15-0700,Hassan Syyid,2023-03-24T18:05:15-0700,Hassan Syyid,Tony Stark:Brenny Stark,93,,,,,Opening Balance,1234 Accounts Receivable (A/R),84,,234.50,,,234.5,469.0,,.00,.00,"['Ordinary Income/Expenses', 'Income', 'Services']",1,Services,
2017-08-12 00:00:00,Invoice,255,,2023-03-14T17:44:13-0700,Hassan Syyid,2023-03-14T17:44:13-0700,Hassan Syyid,Tony Stark:Brandon Stark,92,,,,,Opening Balance,1234 Accounts Receivable (A/R),84,,234.50,,,234.5,703.5,,.00,.00,"['Ordinary Income/Expenses', 'Income', 'Services']",1,Services,
2017-08-12 00:00:00,Invoice,249,,2023-03-09T19:43:33-0800,Hassan Syyid,2023-03-09T19:43:33-0800,Hassan Syyid,Tony Stark:Megan Stark,91,,,,,Opening Balance,1234 Accounts Receivable (A/R),84,,234.50,,,234.5,938.0,,.00,.00,"['Ordinary Income/Expenses', 'Income', 'Services']",1,Services,
2017-08-12 00:00:00,Invoice,468,,2023-09-14T14:34:18-0700,Hassan Syyid,2023-09-14T14:34:18-0700,Hassan Syyid,Tony Stark:Pepper Potts,101,,,,,Opening Balance,1234 Accounts Receivable (A/R),84,,234.50,,,234.5,1172.5,,.00,.00,"['Ordinary Income/Expenses', 'Income', 'Services']",1,Services,
2020-11-03 00:00:00,Invoice,10,1002,2021-02-15T14:57:16-0800,Hassan Syyid,2021-02-17T12:53:23-0800,Hassan Syyid,Phong Tran 2,2,,,,,Weekly Gardening Service,1234 Accounts Receivable (A/R),84,,140.00,,,140.0,140.0,,.00,.00,"['Ordinary Income/Expenses', 'Income', 'Landscaping Services']",45,Landscaping Services,
2020-11-03 00:00:00,Invoice,95,1030,2021-02-17T13:29:56-0800,Hassan Syyid,2021-02-17T13:29:56-0800,Hassan Syyid,Freeman Sporting Goods:0969 Ocean View Road,8,,,,,Weekly Gardening Service,1234 Accounts Receivable (A/R),84,,50.00,,,50.0,190.0,,.00,.00,"['Ordinary Income/Expenses', 'Income', 'Landscaping Services']",45,Landscaping Services,
2020-11-03 00:00:00,Invoice,95,1030,2021-02-17T13:29:56-0800,Hassan Syyid,2021-02-17T13:29:56-0800,Hassan Syyid,Freeman Sporting Goods:0969 Ocean View Road,8,,,,,Sod,1234 Accounts Receivable (A/R),84,,131.25,,,131.25,131.25,,10.50,131.25,"['Ordinary Income/Expenses', 'Income', 'Landscaping Services', 'Job Materials', '7500 Plants and Soil']",49,7500 Plants and Soil,
2020-11-03 00:00:00,Invoice,10,1002,2021-02-15T14:57:16-0800,Hassan Syyid,2021-02-17T12:53:23-0800,Hassan Syyid,Phong Tran 2,2,,,,,Pest Control Services,1234 Accounts Receivable (A/R),84,,35.00,,,35.0,35.0,,.00,.00,"['Ordinary Income/Expenses', 'Income', 'Pest Control Services']",54,Pest Control Services,
2020-11-03 00:00:00,Invoice,95,1030,2021-02-17T13:29:56-0800,Hassan Syyid,2021-02-17T13:29:56-0800,Hassan Syyid,Freeman Sporting Goods:0969 Ocean View Road,8,,,,,Pest Control Services,1234 Accounts Receivable (A/R),84,,35.00,,,35.0,70.0,,.00,.00,"['Ordinary Income/Expenses', 'Income', 'Pest Control Services']",54,Pest Control Services,
2020-10-17 00:00:00,Bill,90,,2021-02-17T13:18:27-0800,Hassan Syyid,2021-02-17T13:18:27-0800,Hassan Syyid,Robertson & Associates,49,,,,,,Accounts Payable (A/P),33,300.00,,,,300.0,300.0,,.00,.00,"['Ordinary Income/Expenses', 'Expenses', 'Legal & Professional Fees', 'Lawyer']",71,Lawyer,
2020-12-04 00:00:00,Invoice,96,1031,2021-02-17T13:30:49-0800,Hassan Syyid,2021-02-17T13:30:49-0800,Hassan Syyid,Freeman Sporting Goods:0969 Ocean View Road,8,,,,,Weekly Gardening Service,1234 Accounts Receivable (A/R),84,,90.00,,,90.0,90.0,,.00,.00,"['Ordinary Income/Expenses', 'Income', 'Landscaping Services']",45,Landscaping Services,
2020-12-04 00:00:00,Invoice,96,1031,2021-02-17T13:30:49-0800,Hassan Syyid,2021-02-17T13:30:49-0800,Hassan Syyid,Freeman Sporting Goods:0969 Ocean View Road,8,,,,,Rock Fountain,1234 Accounts Receivable (A/R),84,,275.00,,,275.0,275.0,,22.00,275.00,"['Ordinary Income/Expenses', 'Income', 'Landscaping Services', 'Job Materials', 'Fountains and Garden Lighting']",48,Fountains and Garden Lighting,
